Difference Distribution Table of PRINCE

    00000100200300400500600700800900A00B00C00D00E00F
--------------------------------------------------------------------
000010   .   .   .   .   .   .   .   .   .   .   .   .   .   .   . 
001  . 004   .   . 002   . 002   . 004 002   . 002   .   .   .   . 
002  . 002   . 004   .   .   . 002 002   .   .   .   . 004 002   . 
003  .   .   .   .   . 002 002   . 002 002 002 002 002   .   . 002 
004  . 002 002 004 002 002   .   . 002   . 002   .   .   .   .   . 
005  .   . 002 002   . 002   . 002   . 002   . 002 002 002   .   . 
006  .   . 002 002   . 002 002   .   . 002   . 002   .   . 004   . 
007  .   . 002   .   .   . 002   . 002   . 004   .   . 002 002 002 
008  .   . 002   . 004 002   .   . 002 002   . 002   . 002   .   . 
009  .   . 002 002   .   .   .   .   . 002 002   . 004 002   . 002 
00A  .   .   . 002 002 004   . 004 002   .   .   .   .   .   . 002 
00B  . 002   .   . 004   .   . 002   .   .   . 002 002   . 002 002 
00C  . 004   .   .   . 002 002   .   .   . 002 002 002   . 002   . 
00D  . 002   .   .   .   .   . 002   . 004 002   .   . 002 002 002 
00E  .   . 002   .   .   . 004 002   .   .   . 002 002 002   . 002 
00F  .   . 002   . 002   . 002 002   .   . 002   . 002   . 002 002 
